CASEID,V102,V106,V113
10010362103,1,1,0
10010360202,1,2,1
10010363402,1,1,0
10010369302,1,2,1
10010360502,1,2,1
10010206304,1,3,1
10010206304,1,3,1
10010206304,1,3,1
10010201102,1,1,1
10010201102,1,1,1
10010204302,1,3,1
10010203602,1,0,1
10010209902,1,1,1
10010209902,1,1,1
10010016402,1,3,0
10010019502,1,3,1
10010019502,1,3,1
10010011002,1,2,1
10010011002,1,2,1
10010011002,1,2,1
10010011002,1,2,1
10010018502,1,1,0
10010015602,1,1,0
10010014504,1,3,0
10010012702,1,1,0
10010014602,1,0,1
10010154202,1,2,0
10010155802,1,1,0
10010155304,1,1,0
10010155304,1,1,0
10010155304,1,1,0
10010157704,1,1,0
10010153504,1,3,0
10010153504,1,3,0
10020130502,0,3,1
10020138302,0,3,0
10020135602,0,0,1
10020130702,0,1,0
10020138002,0,3,1
10020136202,0,1,1
10020139302,0,3,1
10020309102,0,0,1
10020305702,0,3,1
10020305702,0,3,1
10020305502,0,1,1
10020309802,0,1,1
10020308902,0,1,1
10020302004,0,1,1
10020304704,0,1,1
10020068602,0,1,1
10020069304,0,2,1
10020064104,0,1,1
10020310502,0,3,1
10020310502,0,3,1
10020312302,0,1,1
10020313102,0,3,1
10020310302,0,1,1
10020310302,0,1,1
10020295204,0,1,1
10020292804,0,1,1
10020292804,0,1,1
10020291802,0,1,1
10020297804,0,1,1
10020292902,0,1,1
10020292902,0,1,1
10020094009,0,2,0
10020092602,0,1,0
10020093204,0,1,1
10020094902,0,1,1
10020407202,0,1,1
10020401002,0,1,1
10020407802,0,1,1
10020400302,0,1,1
10020407704,0,1,1
10020021404,0,1,1
10020021404,0,1,1
10020023902,0,1,1
10020023902,0,1,1
10020025904,0,0,1
10020026504,0,1,1
10020023402,0,0,1
10020021102,0,1,1
10020027005,0,1,1
10020025408,0,1,1
10020210104,0,3,1
10020210602,0,1,1
10020210602,0,1,1
10020214704,0,3,1
10020217304,0,0,1
10020211504,0,2,1
10020215004,0,1,1
10020214002,0,3,1
10020211702,0,1,1
10020216002,0,1,1
10020219502,0,1,1
10020210402,0,1,1
10020078802,0,1,1
10020075302,0,2,1
10020076402,0,3,1
10020075802,0,1,1
10020075802,0,1,1
10020079504,0,1,1
10020073004,0,2,1
10020073004,0,2,1
10020075402,0,1,1
10020079802,0,1,1
10020076604,0,1,1
10020072204,0,1,1
10020371502,0,3,0
10020372102,0,3,0
10020375804,0,3,1
10020374002,0,3,0
10020371402,0,1,0
10020379202,0,3,0
10020379802,0,3,0
10020376202,0,3,0
10020376202,0,3,0
10020377103,0,3,0
10020276204,0,1,1
10020276402,0,1,1
10020275302,0,1,1
10020270802,0,1,1
10020059104,0,1,1
10020054202,0,3,0
10020051404,0,3,1
10020052702,0,3,1
10020058202,0,3,0
10020052204,0,1,0
10020052204,0,1,0
10020052102,0,3,0
10020052102,0,3,0
10020059302,0,3,1
10020056302,0,1,1
10020056302,0,1,1
10020054602,0,3,0
10020054602,0,3,0
